    100      0.662724379650661E-01      0.652372401338048E-04
    200      0.397973036450343E-02      0.640752310963985E-05
    300      0.725126253327034E-03      0.150601540548262E-05
    400      0.208686695922461E-03      0.511596933587111E-06
    500      0.775594474763729E-04      0.214707583669534E-06
    600      0.342046467790134E-04      0.103001369079319E-06
    700      0.167704693228001E-04      0.543054434463288E-07
    800      0.894976737918407E-05      0.305505042832123E-07
    900      0.513903210647337E-05      0.180936091516576E-07
   1000      0.306484670377525E-05      0.112378372266355E-07
 This data is combined from 
 PK_Plus_eps_1.5.dat + PK_Regular.dat + PK_Delta.dat = PK_eps_1.5.dat
