    100      0.669383599276263E-01      0.273298234098054E-04
    200      0.400093029235744E-02      0.256357167995937E-05
    300      0.724896172056486E-03      0.596574457824175E-06
    400      0.208595278966670E-03      0.203931217689498E-06
    500      0.777087840867392E-04      0.858503070441027E-07
    600      0.341327810396420E-04      0.414168287835158E-07
    700      0.167971355235642E-04      0.219627456374143E-07
    800      0.897887753885250E-05      0.124861280332009E-07
    900      0.512188727134183E-05      0.742995363363321E-08
   1000      0.306717028024630E-05      0.461748239095277E-08
 This data is combined from 
 PK_Plus_eps_5.0.dat + PK_Regular.dat + PK_Delta.dat = PK_eps_5.0.dat
