    100      0.348721934199772E+01      0.630346252155063E-02
    400      0.133159199183873E-01      0.499558537302688E-04
    700      0.114619988643948E-02      0.522468020631460E-05
   1000      0.219007558973497E-03      0.106345477349755E-05
   1300      0.590899857454669E-04      0.295402581141766E-06
   1600      0.198357351439499E-04      0.981876487693419E-07
   1900      0.758582881291015E-05      0.364956751592240E-07
   2200      0.318031065529408E-05      0.146236922657297E-07
   2500      0.141841351100603E-05      0.615772664595119E-08
   2800      0.655554420118668E-06      0.274402404768611E-08
   3100      0.312505321962020E-06      0.125177476739425E-08
   3400      0.153015607899770E-06      0.580400385214612E-09
   3700      0.753522506665536E-07      0.272439529197298E-09
   4000      0.377109664154742E-07      0.127876641892951E-09
   4300      0.189013775511214E-07      0.601759552357595E-10
   4600      0.943071506560539E-08      0.286317213538727E-10
   4900      0.465711992980373E-08      0.132104539889435E-10
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
