    100      0.657104793313162E-01      0.177138893679881E-04
    400      0.208469133893897E-03      0.923108136527508E-07
    700      0.169155957308876E-04      0.831473752688557E-08
   1000      0.310944860285120E-05      0.155431321635237E-08
   1300      0.833154232022524E-06      0.407859501420421E-09
   1600      0.275977128529229E-06      0.129953936983297E-09
   1900      0.104509407089758E-06      0.463650623478834E-10
   2200      0.432988104043603E-07      0.181034017771803E-10
   2500      0.191277989803841E-07      0.747300718857378E-11
   2800      0.883071427324407E-08      0.322048242511518E-11
   3100      0.420641107060293E-08      0.142123029731398E-11
   3400      0.204868940496144E-08      0.645155578941549E-12
   3700      0.101087863865175E-08      0.294674532753226E-12
   4000      0.502435688030819E-09      0.135955007991261E-12
   4300      0.250105358455097E-09      0.626289866744737E-13
   4600      0.124186859921834E-09      0.286663608591524E-13
   4900      0.612378106834823E-10      0.131210924067490E-13
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK4.dat
