    100      0.675091913386757E-01      0.173723564621683E-03
    400      0.207652841632054E-03      0.114712921503502E-05
    700      0.164271155567747E-04      0.117591621886021E-06
   1000      0.298963441518497E-05      0.242607507532117E-07
   1300      0.797058646020108E-06      0.694403458502004E-08
   1600      0.261344812111310E-06      0.238285982678855E-08
   1900      0.988240800451634E-07      0.915071983240435E-09
   2200      0.412127962126579E-07      0.382475777558758E-09
   2500      0.184063284463224E-07      0.169062592582341E-09
   2800      0.852746201242762E-08      0.771111079250102E-10
   3100      0.411768704201732E-08      0.363051967783159E-10
   3400      0.198999707268823E-08      0.174969787993810E-10
   3700      0.101268780627031E-08      0.848625113938408E-11
   4000      0.513172415954700E-09      0.417512944710510E-11
   4300      0.263915225774040E-09      0.204953060986392E-11
   4600      0.134408035147003E-09      0.100454415325937E-11
   4900      0.683655887280660E-10      0.490744638243013E-12
 This data is combined from 
 PK_Plus2.dat + PK_Regular.dat + PK_Delta.dat = PK_Kbar_mod.dat
