    100      0.676878868486348E-01      0.147682112162372E-03
    400      0.205692442378465E-03      0.102742565446084E-05
    700      0.165066313936431E-04      0.105097065738117E-06
   1000      0.307789190132251E-05      0.214353851473116E-07
   1300      0.815176533889526E-06      0.598770422186553E-08
   1600      0.270093253293770E-06      0.200038467973355E-08
   1900      0.101872791462181E-06      0.766067948976754E-09
   2200      0.423882299402136E-07      0.309080632486090E-09
   2500      0.188265944973383E-07      0.132488575716874E-09
   2800      0.851242735905046E-08      0.597875550672867E-10
   3100      0.411200388551871E-08      0.275204406661129E-10
   3400      0.199147565892129E-08      0.127861162923054E-10
   3700      0.985221564525971E-09      0.606918384351041E-11
   4000      0.486423938030605E-09      0.287091894765009E-11
   4300      0.243328309154154E-09      0.137036505886805E-11
   4600      0.120426877996222E-09      0.646336781182888E-12
   4900      0.591382141175535E-10      0.305527664350161E-12
 This data is combined from 
 PK_Plus.dat + PK_Regular_modified.dat + PK_Delta.dat = PK_regular_modified.dat
