 100     -0.127817997759607E-02
 200     -0.681489354188334E-04
 300     -0.112546003232869E-04
 400     -0.297263890159272E-05
 500     -0.101833415935749E-05
 600     -0.412221612585040E-06
 700     -0.187008014168493E-06
 800     -0.922480840211719E-07
 900     -0.485606591829835E-07
1000     -0.268877793273667E-07
1100     -0.155287440431408E-07
1200     -0.924801136954440E-08
1300     -0.568085188846217E-08
1400     -0.356448306231421E-08
1500     -0.228640885680875E-08
1600     -0.148957361531725E-08
1700     -0.984210846366410E-09
1800     -0.663632971710801E-09
1900     -0.449408283632348E-09
2000     -0.308723276457264E-09
