    100     -0.654115586534798E+01
    200     -0.365974443798248E+00
    300     -0.626138197309910E-01
    400     -0.175698938597669E-01
    500     -0.645683311732160E-02
    600     -0.263965029653249E-02
    700     -0.128194583625967E-02
    800     -0.643249706882767E-03
    900     -0.361459330568034E-03
   1000     -0.224584187555282E-03
   1100     -0.130677349540116E-03
   1200     -0.864816532682578E-04
   1300     -0.501672380117967E-04
   1400     -0.351261173320966E-04
   1500     -0.248692334076337E-04
   1600     -0.158711709299624E-04
   1700     -0.127474744416687E-04
   1800     -0.842353025836909E-05
   1900     -0.610123822866791E-05
   2000     -0.428643510220945E-05

