   2100      0.487011684790239E-05      0.519559644739843E-07
   2200      0.367582841602678E-05      0.390336362250580E-07
   2300      0.286257020431241E-05      0.295130178409253E-07
   2400      0.213204497855979E-05      0.223469172558573E-07
   2500      0.161812816923548E-05      0.170387248412761E-07
   2600      0.122820332564141E-05      0.130183467380520E-07
   2700      0.960684759199286E-06      0.100315082685843E-07
   2800      0.746990212622084E-06      0.768702607039027E-08
   2900      0.582311878898823E-06      0.594017615708431E-08
   3000      0.455787133131083E-06      0.461165048173928E-08
