   2100      0.880042116907642E-06      0.465855841649677E-09
   2200      0.649028569044453E-06      0.350155676398079E-09
   2300      0.482597944404741E-06      0.259663357978737E-09
   2400      0.360417620566010E-06      0.196805579468125E-09
   2500      0.271173184849340E-06      0.149596819168527E-09
   2600      0.204646031322283E-06      0.113979299162220E-09
   2700      0.155121335980900E-06      0.866666931512029E-10
   2800      0.118233926035744E-06      0.666940644518021E-10
   2900      0.904866478677983E-07      0.513843211255209E-10
   3000      0.693445728093084E-07      0.391226302336005E-10



This is taken from PK.dat file generated, without x and linear mapping
