    100      0.995568885638541E+01
    200      0.561197272409241E+00
    300      0.971873336313224E-01
    400      0.272559697603583E-01
    500      0.991234751085067E-02
    600      0.424578425270370E-02
    700      0.204873600235124E-02
    800      0.107994799751083E-02
    900      0.604529796753237E-03
   1000      0.356950826338396E-03





    100      0.276402864825825E+00
    200      0.155313084149954E-01
    300      0.270436172482327E-02
    400      0.757177205584468E-03
    500      0.274678934465326E-03
    600      0.118288830962668E-03
    700      0.570950317993942E-04
    800      0.300847194433540E-04
    900      0.168377625231803E-04
   1000      0.993322475151822E-05

