    100      0.349976042062167E+01      0.180766339006111E-01
    400      0.134040358960518E-01      0.144924161259520E-03
    700      0.115190140268417E-02      0.156488942814841E-04
   1000      0.221113568713982E-03      0.328361705034447E-05
   1300      0.588624215205009E-04      0.940417593653952E-06
   1600      0.206451889611047E-04      0.321331491281796E-06
   1900      0.775743626621069E-05      0.122449914369495E-06
   2200      0.313048749579814E-05      0.505560866555462E-07
   2500      0.141247925076579E-05      0.218754638574311E-07
   2800      0.652696839292706E-06      0.987580859554038E-08
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
