    100      0.663680617033476E-01      0.514041586159672E-04
    200      0.398508526818809E-02      0.507587528321127E-05
    300      0.722484208577184E-03      0.120522237002514E-05
    400      0.207975904827558E-03      0.409739723570770E-06
    500      0.775718885105296E-04      0.172353471404687E-06
    600      0.341908039900243E-04      0.831701195190794E-07
    700      0.168176047595753E-04      0.438328188807120E-07
    800      0.900113811612098E-05      0.247550538668043E-07
    900      0.511016164028323E-05      0.147084563190411E-07
   1000      0.305032671635220E-05      0.908912164843650E-08
 This data is combined from 
 PK_Plus_eps_2.0.dat + PK_Regular.dat + PK_Delta.dat = PK_eps_2.0.dat
