   500.00000000000000        500.00000000000000        500.00000000000000       0.47380084136188844        8.5199011611141175E-005
   1000.0000000000000        1000.0000000000000        1000.0000000000000        1.7858064005969579E-002   3.1776135024005106E-006
   1500.0000000000000        1500.0000000000000        1500.0000000000000        2.0843936837853703E-003   3.9828647892314408E-007
   2000.0000000000000        2000.0000000000000        2000.0000000000000        3.8135796799339917E-004   7.9149495451976131E-008
   2500.0000000000000        2500.0000000000000        2500.0000000000000        8.8522739522340436E-005   2.1983020189382577E-008
   3000.0000000000000        3000.0000000000000        3000.0000000000000        2.3739992964348360E-005   6.7764926192690694E-009
   3500.0000000000000        3500.0000000000000        3500.0000000000000        6.9965546816803685E-006   2.1379793224033865E-009
   4000.0000000000000        4000.0000000000000        4000.0000000000000        2.1970789101623839E-006   8.0192113395302597E-010
   4500.0000000000000        4500.0000000000000        4500.0000000000000        7.2055910828375343E-007   3.3858605283562549E-010
   5000.0000000000000        5000.0000000000000        5000.0000000000000        2.4385375319356605E-007   1.4264247502318075E-010
