   500.00000000000000        500.00000000000000        500.00000000000000       0.47346286355514133        2.2160758435503630E-004
   1000.0000000000000        1000.0000000000000        1000.0000000000000        1.7842172779567334E-002   8.9477804055435098E-006
   1500.0000000000000        1500.0000000000000        1500.0000000000000        2.0830053388716354E-003   1.0696941214277176E-006
   2000.0000000000000        2000.0000000000000        2000.0000000000000        3.8116627216206155E-004   2.0083790462019949E-007
   2500.0000000000000        2500.0000000000000        2500.0000000000000        8.8522876439905328E-005   5.4572183734840061E-008
   3000.0000000000000        3000.0000000000000        3000.0000000000000        2.3750068802679047E-005   1.8380527533944499E-008
   3500.0000000000000        3500.0000000000000        3500.0000000000000        6.9963910004199115E-006   6.2954207990878700E-009
   4000.0000000000000        4000.0000000000000        4000.0000000000000        2.1948996160879379E-006   2.2217470712064848E-009
   4500.0000000000000        4500.0000000000000        4500.0000000000000        7.1869565754310071E-007   8.0506122671327963E-010
   5000.0000000000000        5000.0000000000000        5000.0000000000000        2.4340937387581855E-007   3.0441961322059622E-010
