   1505.0000000000000        1505.0000000000000        1505.0000000000000        3.9471651521945192E-002   4.6579264971803575E-004
   2505.0000000000000        2505.0000000000000        2505.0000000000000        1.9123152627776748E-003   1.5795007954313800E-005
   3505.0000000000000        3505.0000000000000        3505.0000000000000        1.5643656049575385E-004   5.4160582854034103E-006
   4505.0000000000000        4505.0000000000000        4505.0000000000000        1.5326203010964375E-005   6.8958109127802708E-007
   5505.0000000000000        5505.0000000000000        5505.0000000000000        1.5612498090622405E-006   7.6104447382665224E-008
   6505.0000000000000        6505.0000000000000        6505.0000000000000        1.8348967088919343E-007   1.1125787197110527E-008
   7505.0000000000000        7505.0000000000000        7505.0000000000000        3.1259290354404338E-008   5.3925101478207125E-009
   8505.0000000000000        8505.0000000000000        8505.0000000000000        8.5619648680562348E-009   1.4313211783977068E-009
   9505.0000000000000        9505.0000000000000        9505.0000000000000        1.9274331712347504E-009   2.3523162420836957E-010
   10505.000000000000        10505.000000000000        10505.000000000000        3.6947685426421044E-010   8.0447238162880702E-011
