   4     -0.3537890E-02 0.1512E-04 -0.3547473E-02 0.9865E-05 0.3316    
   5     -0.3545709E-02 0.1482E-04 -0.3546932E-02 0.8212E-05 0.2512    
   6     -0.3555814E-02 0.1469E-04 -0.3549053E-02 0.7167E-05 0.2566    
   7     -0.3567144E-02 0.1460E-04 -0.3552595E-02 0.6432E-05 0.4211    
   8     -0.3539621E-02 0.1448E-04 -0.3550469E-02 0.5879E-05 0.4566    
   9     -0.3564393E-02 0.1465E-04 -0.3552415E-02 0.5455E-05 0.4970    
  10     -0.3539858E-02 0.1456E-04 -0.3550878E-02 0.5109E-05 0.5142    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=  485941248.
                              IT=    0  ITMX=   20
                              MDS= -1   ND=  48
   1     -0.3548764E-02 0.3989E-05 -0.3548764E-02 0.3989E-05  0.000    
   2     -0.3550997E-02 0.3987E-05 -0.3549882E-02 0.2820E-05 0.1568    
   3     -0.3544102E-02 0.3977E-05 -0.3547952E-02 0.2300E-05 0.7804    
   4     -0.3539202E-02 0.3984E-05 -0.3545772E-02 0.1992E-05  1.724    
   5     -0.3541805E-02 0.3982E-05 -0.3544980E-02 0.1782E-05  1.492    
   6     -0.3545226E-02 0.3993E-05 -0.3545021E-02 0.1627E-05  1.194    
   7     -0.3546269E-02 0.3981E-05 -0.3545199E-02 0.1506E-05  1.009    
   8     -0.3543093E-02 0.3985E-05 -0.3544936E-02 0.1409E-05 0.8999    
   9     -0.3539784E-02 0.3986E-05 -0.3544366E-02 0.1328E-05 0.9729    
  10     -0.3539795E-02 0.3978E-05 -0.3543908E-02 0.1260E-05 0.9968    
  11     -0.3543060E-02 0.3989E-05 -0.3543831E-02 0.1201E-05 0.9012    
  12     -0.3544748E-02 0.3990E-05 -0.3543908E-02 0.1150E-05 0.8237    
  13     -0.3536268E-02 0.3977E-05 -0.3543320E-02 0.1105E-05  1.038    
  14     -0.3547487E-02 0.3996E-05 -0.3543617E-02 0.1065E-05  1.036    
  15     -0.3539888E-02 0.3977E-05 -0.3543368E-02 0.1029E-05  1.020    
  16     -0.3542326E-02 0.3986E-05 -0.3543303E-02 0.9962E-06 0.9567    
  17     -0.3541823E-02 0.3980E-05 -0.3543215E-02 0.9664E-06 0.9051    
  18     -0.3539611E-02 0.3987E-05 -0.3543016E-02 0.9392E-06 0.8973    
  19     -0.3542142E-02 0.3982E-05 -0.3542970E-02 0.9141E-06 0.8500    
  20     -0.3545036E-02 0.3985E-05 -0.3543073E-02 0.8910E-06 0.8187    
   
   
 Integral virtual contribrtion:  -3.5430732730280844E-003 +-   8.9096328373443445E-007
 with chisq    =  0.81865467636483236     
  
  
  
 For xq =          700 
  
 RM48 INITIALIZED:        40           0         0



