    100      0.661593150502619E-01      0.161435421074179E-03
    200      0.397399032973914E-02      0.151214005996959E-04
    300      0.727894498718166E-03      0.345007057986764E-05
    400      0.207028283815057E-03      0.115714574094609E-05
    500      0.772227866961213E-04      0.479771623044715E-06
    600      0.340651867347372E-04      0.228312734215349E-06
    700      0.169506155893761E-04      0.119430392896980E-06
    800      0.913317599064305E-05      0.670683645774309E-07
    900      0.508264498227002E-05      0.396412901794146E-07
   1000      0.309846548549519E-05      0.244421476221359E-07
 This data is combined from 
 PK_Plus_eps_0.5.dat + PK_Regular.dat + PK_Delta.dat = PK_eps_0.5.dat
