    100      0.656934645221041E-01      0.177138893679881E-04
    400      0.207879886245447E-03      0.923108136527508E-07
    700      0.167978679480697E-04      0.831473752688557E-08
   1000      0.307259684786238E-05      0.155431321635237E-08
   1300      0.818982188577168E-06      0.407859501420421E-09
   1600      0.269859673383180E-06      0.129953936983297E-09
   1900      0.101672327628458E-06      0.463650623478834E-10
   2200      0.419196818904512E-07      0.181034017771803E-10
   2500      0.184361780151456E-07      0.747300718857378E-11
   2800      0.847681811388849E-08      0.322048242511518E-11
   3100      0.402316836688789E-08      0.142123029731398E-11
   3400      0.195329411131519E-08      0.645155578941549E-12
   3700      0.961212533909795E-09      0.294674532753226E-12
   4000      0.476692184014910E-09      0.135955007991261E-12
   4300      0.236872975347939E-09      0.626289866744737E-13
   4600      0.117464866086629E-09      0.286663608591524E-13
   4900      0.578736724613503E-10      0.131210924067490E-13
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK3.dat
