 100      0.649384031871001E-01
 200      0.364046560024690E-02
 300      0.634578565441337E-03
 400      0.177843129520743E-03
 500      0.648929401402191E-04
 600      0.278744223458812E-04
 700      0.134468701277324E-04
 800      0.711182145930958E-05
 900      0.397115701517774E-05
1000      0.234301976344908E-05
1100      0.143790930642027E-05
1200      0.907952324695400E-06
1300      0.591824004873946E-06
1400      0.394682911027126E-06
1500      0.267991579932076E-06
1600      0.185349945953714E-06
1700      0.131157690498010E-06
1800      0.934549543296062E-07
1900      0.670704619842050E-07
2000      0.489018270068554E-07

