    100      0.660471769563316E-01      0.222065526622431E-03
    200      0.401564622027884E-02      0.207390650926795E-04
    300      0.732805888268303E-03      0.474348528339412E-05
    400      0.210443243041136E-03      0.159234682696371E-05
    500      0.788839644772351E-04      0.659661002940205E-06
    600      0.346864258905190E-04      0.313080072997237E-06
    700      0.169418856366567E-04      0.163485015773416E-06
    800      0.903302015018363E-05      0.917498907902069E-07
    900      0.527802104597757E-05      0.544060518965546E-07
   1000      0.313683569212007E-05      0.335477043206091E-07
   1100      0.195786900277978E-05      0.213879429397947E-07
   1200      0.125713874860349E-05      0.140390442640932E-07
   1300      0.836669130475748E-06      0.939773729054600E-08
   1400      0.562562980122494E-06      0.642889585831869E-08
   1500      0.384115378571522E-06      0.448201217390896E-08
   1600      0.275604327764076E-06      0.316106189971545E-08
   1700      0.195557029179468E-06      0.225700179726259E-08
   1800      0.140874875737602E-06      0.163731349150003E-08
   1900      0.101957470965616E-06      0.119300895640937E-08
   2000      0.757860928849742E-07      0.878143567899327E-09
   2100      0.572648016340842E-07      0.650674147585564E-09
   2200      0.424150894278705E-07      0.486192423682361E-09
   2300      0.316212801735320E-07      0.366084460353710E-09
   2400      0.240804231217357E-07      0.275865857934364E-09
   2500      0.185704362403014E-07      0.209209710217459E-09
   2600      0.140308455026816E-07      0.160240407424632E-09
   2700      0.110465092047271E-07      0.122280012645742E-09
   2800      0.833821302110114E-08      0.939253236728080E-10
   2900      0.652563770606934E-08      0.719032496889498E-10
   3000      0.510481408248855E-08      0.556197859292570E-10
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
