    100      0.644873890088333E-01      0.127140496857873E-03
    400      0.202580057259403E-03      0.663072957621011E-06
    700      0.162599484883111E-04      0.601418692746720E-07
   1000      0.295588810144083E-05      0.113816194784290E-07
   1300      0.784340341400769E-06      0.301051198736114E-08
   1600      0.255396298077979E-06      0.968436374695388E-09
   1900      0.957888772625442E-07      0.349365281281577E-09
   2200      0.392138933936380E-07      0.138162214967644E-09
   2500      0.171526258318201E-07      0.577555853047207E-10
   2800      0.785482434416088E-08      0.251462510334834E-10
   3100      0.370404273897752E-08      0.112815504759323E-10
   3400      0.178774188183049E-08      0.516263269789952E-11
   3700      0.876773954277820E-09      0.239297525686943E-11
   4000      0.433044564889689E-09      0.111515859972087E-11
   4300      0.213645642694775E-09      0.522369946074711E-12
   4600      0.105505419710405E-09      0.243798243345926E-12
   4900      0.515915434887445E-10      0.112306014886471E-12
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
