    100      1.0916723120421302E-006   2.0422405022761831E-011
    200      1.8297141082325894E-005   2.0004775109040151E-010
    300      5.5784296836435802E-005   3.9634254135021874E-010
    400      1.0893603346767475E-004   7.2144040782719506E-010
    500      0.171707470380187E-03      0.101740947024289E-08
    600      0.238938132641402E-03      0.131422655614360E-08
    700      0.306539341864428E-03      0.156248287058358E-08
    800      0.371464443682316E-03      0.181659453795151E-08
    900      0.431734532252426E-03      0.197392974931074E-08
   1000      0.486209371020077E-03      0.205706353369617E-08
   1100      0.534406962432621E-03      0.218126716465064E-08
   1200      0.576332049992890E-03      0.221628741371596E-08
   1300      0.612336085114964E-03      0.224759106543240E-08
   1400      0.643028945830368E-03      0.226233397991552E-08
   1500      0.669264770641204E-03      0.226332112248362E-08
   1600      0.692072921271897E-03      0.223557446991848E-08
   1700      0.712686264725068E-03      0.225542296335091E-08
   1800      0.732653672282404E-03      0.219486739424329E-08
   1900      0.754037055599974E-03      0.219997624982781E-08
   2000      0.779812451056536E-03      0.219666446783256E-08
   2100      0.814838388618357E-03      0.223485685848274E-08
   2200      0.868425161068032E-03      0.228230201924723E-08
   2300      0.962959529553311E-03      0.251575246294041E-08
   2400      0.117927558239724E-02      0.293473914496091E-08

