   100.00000000000000        100.00000000000000        100.00000000000000       0.24155032088256714     
   150.00000000000000        150.00000000000000        150.00000000000000        4.8522141600685395E-002
   200.00000000000000        200.00000000000000        200.00000000000000        1.5090367272878860E-002
   300.00000000000000        300.00000000000000        300.00000000000000        2.7832058701882118E-003
   400.00000000000000        400.00000000000000        400.00000000000000        8.0957388414196858E-004
   500.00000000000000        500.00000000000000        500.00000000000000        3.0336366599104054E-004
   600.00000000000000        600.00000000000000        600.00000000000000        1.3356421315245773E-004
   700.00000000000000        700.00000000000000        700.00000000000000        6.5742070707958594E-005
   800.00000000000000        800.00000000000000        800.00000000000000        3.5107203345514581E-005
   900.00000000000000        900.00000000000000        900.00000000000000        1.9947683464113200E-005
   1000.0000000000000        1000.0000000000000        1000.0000000000000        1.1899834624538380E-005
   1100.0000000000000        1100.0000000000000        1100.0000000000000        7.3823971290898023E-006
   1200.0000000000000        1200.0000000000000        1200.0000000000000        4.7292956324343060E-006
   1300.0000000000000        1300.0000000000000        1300.0000000000000        3.1118167694010410E-006
   1400.0000000000000        1400.0000000000000        1400.0000000000000        2.0942196160635988E-006
   1500.0000000000000        1500.0000000000000        1500.0000000000000        1.4383692667680884E-006
   1600.0000000000000        1600.0000000000000        1600.0000000000000        1.0027063363510169E-006
   1700.0000000000000        1700.0000000000000        1700.0000000000000        7.0937068761927141E-007
   1800.0000000000000        1800.0000000000000        1800.0000000000000        5.0821986865602070E-007
   1900.0000000000000        1900.0000000000000        1900.0000000000000        3.6827347199911612E-007
   2000.0000000000000        2000.0000000000000        2000.0000000000000        2.6948378613153778E-007
   2100.0000000000000        2100.0000000000000        2100.0000000000000        1.9895064762965095E-007
   2300.0000000000000        2300.0000000000000        2300.0000000000000        1.1089076030870535E-007
   2500.0000000000000        2500.0000000000000        2500.0000000000000        6.3373351069449526E-008
   2700.0000000000000        2700.0000000000000        2700.0000000000000        3.6944095766627237E-008
   2900.0000000000000        2900.0000000000000        2900.0000000000000        2.1881642897791720E-008
   3100.0000000000000        3100.0000000000000        3100.0000000000000        1.3131679866795834E-008
   3300.0000000000000        3300.0000000000000        3300.0000000000000        7.9606832909510222E-009
   3500.0000000000000        3500.0000000000000        3500.0000000000000        4.8645666575582976E-009
