    100      0.660441465053850E-01      0.135359573806366E-03
    400      0.208745538948089E-03      0.941928062515213E-06
    700      0.168421708369809E-04      0.959891840761980E-07
   1000      0.312473012882774E-05      0.192157065397888E-07
   1300      0.826772271846441E-06      0.535479398015002E-08
   1600      0.270002741773819E-06      0.180494357944181E-08
   1900      0.101600132479383E-06      0.675097207531942E-09
   2200      0.417337742942036E-07      0.269156925770334E-09
   2500      0.180617174410150E-07      0.115018674423801E-09
   2800      0.825455561239664E-08      0.514440233299078E-10
   3100      0.390021480032835E-08      0.236366270776387E-10
   3400      0.192018461412832E-08      0.109005830873273E-10
   3700      0.933369311702999E-09      0.519949634834448E-11
   4000      0.465259018310892E-09      0.245988887754312E-11
   4300      0.228611345519486E-09      0.114544831634874E-11
   4600      0.113269007778768E-09      0.550766967675528E-12
   4900      0.562039402512808E-10      0.256734155922911E-12
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
