  500.0000    500.0000    500.0000    Infinity         NaN         NaN
 1000.0000   1000.0000   1000.0000    Infinity         NaN         NaN
 1500.0000   1500.0000   1500.0000    Infinity         NaN         NaN
 2000.0000   2000.0000   2000.0000    Infinity         NaN         NaN
 2500.0000   2500.0000   2500.0000    Infinity         NaN         NaN
 3000.0000   3000.0000   3000.0000    Infinity         NaN         NaN
 3500.0000   3500.0000   3500.0000    Infinity         NaN         NaN
 4000.0000   4000.0000   4000.0000    Infinity         NaN         NaN
 4500.0000   4500.0000   4500.0000    Infinity         NaN         NaN
 5000.0000   5000.0000   5000.0000    Infinity         NaN         NaN
