  100.00 1 0      0.000          0.000         0.1091E-05     0.1091E-05
  200.00 1 0      0.000          0.000         0.1827E-04     0.1827E-04
  300.00 1 0      0.000          0.000         0.5577E-04     0.5577E-04
  400.00 1 0      0.000          0.000         0.1093E-03     0.1093E-03
  500.00 1 0      0.000          0.000         0.1713E-03     0.1713E-03
  600.00 1 0      0.000          0.000         0.2389E-03     0.2389E-03
  700.00 1 0      0.000          0.000         0.3061E-03     0.3061E-03
  800.00 1 0      0.000          0.000         0.3714E-03     0.3714E-03
  900.00 1 0      0.000          0.000         0.4317E-03     0.4317E-03
 1000.00 1 0      0.000          0.000         0.4868E-03     0.4868E-03
 1100.00 1 0      0.000          0.000         0.5353E-03     0.5353E-03
 1200.00 1 0      0.000          0.000         0.5766E-03     0.5766E-03
 1300.00 1 0      0.000          0.000         0.6111E-03     0.6111E-03
 1400.00 1 0      0.000          0.000         0.6446E-03     0.6446E-03
 1500.00 1 0      0.000          0.000         0.6695E-03     0.6695E-03
 1600.00 1 0      0.000          0.000         0.6917E-03     0.6917E-03
 1700.00 1 0      0.000          0.000         0.7127E-03     0.7127E-03
 1800.00 1 0      0.000          0.000         0.7269E-03     0.7269E-03
 1900.00 1 0      0.000          0.000         0.7536E-03     0.7536E-03
 2000.00 1 0      0.000          0.000         0.7794E-03     0.7794E-03
 2100.00 1 0      0.000          0.000         0.8089E-03     0.8089E-03
 2200.00 1 0      0.000          0.000         0.8652E-03     0.8652E-03
 2300.00 1 0      0.000          0.000         0.9581E-03     0.9581E-03
 2400.00 1 0      0.000          0.000         0.1177E-02     0.1177E-02
 2500.00 1 0      0.000          0.000         0.2730E-02     0.2730E-02
