    100      0.224414553991511E-01      0.194696818782848E-03
    400      0.786781103764060E-04      0.132768225266701E-05
    700      0.717625789861231E-05      0.135241933259551E-06
   1000      0.142924455375725E-05      0.275852511674332E-07
   1300      0.398282624095332E-06      0.776952795049998E-08
   1600      0.136845707230396E-06      0.258200666886470E-08
   1900      0.544781297089321E-07      0.965812167537785E-09
   2200      0.238070633887426E-07      0.391905406977954E-09
   2500      0.109352942169073E-07      0.170566626910358E-09
   2800      0.518387562746948E-08      0.763568793986799E-10
   3100      0.255329751794199E-08      0.355559321998724E-10
   3400      0.129388173004456E-08      0.169302387832750E-10
   3700      0.646760908963933E-09      0.773823894746382E-11
   4000      0.327556870949209E-09      0.370106319455620E-11
   4300      0.167054852168606E-09      0.174775534102297E-11
   4600      0.843287127085718E-10      0.833117731609476E-12
   4900      0.426257458320126E-10      0.424871182993669E-12
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK_new.dat
