    100      0.346329382831604E+01      0.199143036689772E-02
    200      0.236749697839472E+00      0.172003821490587E-03
    300      0.450887227314795E-01      0.376202094225248E-04
    400      0.132806734297741E-01      0.120930584277049E-04
    500      0.519210734309775E-02      0.486379175013786E-05
    600      0.229985520939341E-02      0.225823618763905E-05
    700      0.116203983768271E-02      0.115389709931364E-05
    800      0.638538403060426E-03      0.637489499517719E-06
    900      0.360524731581397E-03      0.369025609707492E-06
   1000      0.219974235782269E-03      0.224379287322309E-06
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
