    100      0.660957838994084E-01      0.944198421147382E-04
    400      0.208480894089359E-03      0.651901421075468E-06
    700      0.168794641567536E-04      0.667361870813820E-07
   1000      0.306738648206518E-05      0.133069429376034E-07
   1300      0.817568610932597E-06      0.368520945495351E-08
   1600      0.267982796777013E-06      0.126215223579604E-08
   1900      0.100513511331779E-06      0.480359706185943E-09
   2200      0.411998828397777E-07      0.191258920225621E-09
   2500      0.183101668538690E-07      0.830916194510681E-10
   2800      0.836095392162520E-08      0.373485655386214E-10
   3100      0.392457122669448E-08      0.169865592181284E-10
   3400      0.191287513858262E-08      0.794217681099158E-11
   3700      0.936868143661301E-09      0.373486009929196E-11
   4000      0.464316357508590E-09      0.175871281763752E-11
   4300      0.229789605262917E-09      0.841196451118967E-12
   4600      0.113679642481772E-09      0.397803479818118E-12
   4900      0.561592740489317E-10      0.188268427124088E-12
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
