    100     -0.383576588972782E+00      0.115142545928769E-01
    200     -0.169087961680287E-01      0.120040798284889E-02
    300     -0.251119620035754E-02      0.290178526385914E-03
    400      0.433332706589866E-03      0.100655829076893E-03
    500      0.448339351362990E-03      0.429276596363494E-04
    600      0.222315461638913E-03      0.209561948832664E-04
    700      0.139625197580361E-03      0.111768892817565E-04
    800      0.984767982673289E-04      0.635534277348021E-05
    900      0.691906816942656E-04      0.381719193002771E-05
   1000      0.469920487271001E-04      0.238619085454775E-05

