    100      0.660261484008815E-01      0.142285239874577E-03
    400      0.208372182571011E-03      0.100760617171190E-05
    700      0.167317110169427E-04      0.103360251648742E-06
   1000      0.309638153266591E-05      0.210979937063866E-07
   1300      0.814119418816496E-06      0.589287114268503E-08
   1600      0.267725296472964E-06      0.196880546989728E-08
   1900      0.100207161094887E-06      0.753797882913865E-09
   2200      0.414627938550538E-07      0.304006279460056E-09
   2500      0.183385900098415E-07      0.130277748378762E-09
   2800      0.825361624839562E-08      0.587724760832209E-10
   3100      0.397380401662085E-08      0.270203855876752E-10
   3400      0.191948556937908E-08      0.125589070066212E-10
   3700      0.947282481318811E-09      0.595394871627060E-11
   4000      0.466559725191080E-09      0.281607134262307E-11
   4300      0.232924320455754E-09      0.134418278544497E-11
   4600      0.115049527371739E-09      0.633614192724519E-12
   4900      0.563819997169793E-10      0.299294913792268E-12
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
