    100      0.177694540176110E+01      0.520996868646098E-03
    400      0.585389550352113E-02      0.313677955934529E-05
    700      0.466489761839930E-03      0.304911315613878E-06
   1000      0.825987641962174E-04      0.604546396313832E-07
   1300      0.210328927735560E-04      0.165897539167087E-07
   1600      0.659141174949985E-05      0.548163304339196E-08
   1900      0.235381130047981E-05      0.205166279415278E-08
   2200      0.916618576270115E-06      0.823451466714119E-09
   2500      0.380413870177910E-06      0.349560464689764E-09
   2800      0.164695858093361E-06      0.155339254170314E-09
   3100      0.736966504061097E-07      0.706855765061520E-10
   3400      0.337290551152834E-07      0.327751228957841E-10
   3700      0.156539786828987E-07      0.153575186840869E-10
   4000      0.733685407094190E-08      0.724203102351179E-11
   4300      0.345002767944320E-08      0.343544193669617E-11
   4600      0.162292468793748E-08      0.161567570335858E-11
   4900      0.760415721006986E-09      0.758791052205110E-12
 This data is combined from 
 PK_Plus.dat + PK_regular_only.dat + PK_Delta.dat = PK.dat
