    100      0.281071679721921E+00
    200      0.176001525301625E-01
    300      0.324670422069949E-02
    400      0.945318891606517E-03
    500      0.354354202583633E-03
    600      0.155746626204527E-03
    700      0.768539403255581E-04
    800      0.410617434478661E-04
    900      0.233289180541021E-04
   1000      0.139153786637779E-04
   1100      0.864500433939788E-05
   1200      0.552917764079845E-05
   1300      0.363971800396493E-05
   1400      0.244014398917628E-05
   1500      0.167763888847364E-05
   1600      0.116830750189373E-05
   1700      0.827156420270612E-06
   1800      0.593052545890960E-06
   1900      0.430562178745282E-06
   2000      0.314703312559874E-06

