   6     -0.7692662E-04 0.3339E-06 -0.7733289E-04 0.1801E-06 0.4652    
   7     -0.7771112E-04 0.3304E-06 -0.7741974E-04 0.1581E-06 0.5563    
   8     -0.7754907E-04 0.3290E-06 -0.7744399E-04 0.1425E-06 0.4948    
   9     -0.7800440E-04 0.3528E-06 -0.7752331E-04 0.1321E-06 0.7058    
  10     -0.7671299E-04 0.3348E-06 -0.7741635E-04 0.1229E-06  1.182    
  11     -0.7746156E-04 0.3295E-06 -0.7742186E-04 0.1152E-06  1.066    
  12     -0.7736908E-04 0.3257E-06 -0.7741602E-04 0.1086E-06 0.9712    
  13     -0.7767255E-04 0.3373E-06 -0.7744019E-04 0.1034E-06 0.9338    
  14     -0.7737011E-04 0.3281E-06 -0.7743389E-04 0.9860E-07 0.8654    
  15     -0.7720427E-04 0.3241E-06 -0.7741459E-04 0.9434E-07 0.8366    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=  488281250.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  25
   1     -0.7734567E-04 0.1122E-06 -0.7734567E-04 0.1122E-06  0.000    
   2     -0.7722692E-04 0.1098E-06 -0.7728509E-04 0.7847E-07 0.5723    
   3     -0.7713141E-04 0.1095E-06 -0.7723308E-04 0.6378E-07 0.9363    
   4     -0.7735969E-04 0.1221E-06 -0.7726030E-04 0.5654E-07 0.9058    
   5     -0.7740139E-04 0.1109E-06 -0.7728949E-04 0.5037E-07  1.001    
   6     -0.7729209E-04 0.1081E-06 -0.7728996E-04 0.4565E-07 0.8007    
   7     -0.7732350E-04 0.1256E-06 -0.7729388E-04 0.4290E-07 0.6777    
   8     -0.7733217E-04 0.1105E-06 -0.7729890E-04 0.4000E-07 0.5958    
   9     -0.7723152E-04 0.1129E-06 -0.7729140E-04 0.3770E-07 0.5609    
  10     -0.7722084E-04 0.1086E-06 -0.7728382E-04 0.3562E-07 0.5404    
  11     -0.7711907E-04 0.1112E-06 -0.7726855E-04 0.3392E-07 0.6850    
  12     -0.7740459E-04 0.1090E-06 -0.7728061E-04 0.3239E-07 0.7521    
  13     -0.7742118E-04 0.1088E-06 -0.7729208E-04 0.3104E-07 0.8173    
  14     -0.7734944E-04 0.1115E-06 -0.7729621E-04 0.2990E-07 0.7733    
  15     -0.7722797E-04 0.1106E-06 -0.7729157E-04 0.2887E-07 0.7435    
  16     -0.7738293E-04 0.1159E-06 -0.7729692E-04 0.2801E-07 0.7329    
  17     -0.7720808E-04 0.1121E-06 -0.7729172E-04 0.2718E-07 0.7240    
  18     -0.7738062E-04 0.1161E-06 -0.7729635E-04 0.2646E-07 0.7141    
  19     -0.7724167E-04 0.1100E-06 -0.7729336E-04 0.2573E-07 0.6875    
  20     -0.7731354E-04 0.1101E-06 -0.7729440E-04 0.2505E-07 0.6529    
  21     -0.7740298E-04 0.1118E-06 -0.7729961E-04 0.2444E-07 0.6652    
  22     -0.7728234E-04 0.1102E-06 -0.7729880E-04 0.2386E-07 0.6347    
  23     -0.7710973E-04 0.1098E-06 -0.7729031E-04 0.2332E-07 0.7342    
  24     -0.7746264E-04 0.1107E-06 -0.7729766E-04 0.2282E-07 0.8034    
  25     -0.7729357E-04 0.1084E-06 -0.7729748E-04 0.2233E-07 0.7699    
  26     -0.7747121E-04 0.1108E-06 -0.7730429E-04 0.2189E-07 0.8339    
  27     -0.7744825E-04 0.1100E-06 -0.7730979E-04 0.2147E-07 0.8652    
  28     -0.7756015E-04 0.1285E-06 -0.7731663E-04 0.2118E-07 0.9705    
  29     -0.7732817E-04 0.1086E-06 -0.7731705E-04 0.2078E-07 0.9362    
  30     -0.7734828E-04 0.1090E-06 -0.7731815E-04 0.2042E-07 0.9067    
   
   
 Integral=  -7.7318148827930808E-005 +-   2.0416768687809814E-008
 with chisq    =  0.90667497630961802     
  
  
  
 For xq =          300 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=   48275138.
                              IT=    0  ITMX=   15
                              MDS=  1   ND=  50
   1     -0.1449901E-04 0.1782E-05 -0.1449901E-04 0.1782E-05  0.000    
   2     -0.1286590E-04 0.2856E-06 -0.1291750E-04 0.2994E-06 0.9100    
   3     -0.1298089E-04 0.8585E-07 -0.1297557E-04 0.8526E-07 0.4925    
   4     -0.1265933E-04 0.7077E-07 -0.1279790E-04 0.5561E-07  2.992    
   5     -0.1270792E-04 0.6594E-07 -0.1276238E-04 0.4290E-07  2.545    
   6     -0.1281379E-04 0.6321E-07 -0.1277801E-04 0.3564E-07  2.142    
   7     -0.1290384E-04 0.6345E-07 -0.1280749E-04 0.3112E-07  2.281    
   8     -0.1280864E-04 0.6185E-07 -0.1280771E-04 0.2784E-07  1.965    
   9     -0.1286971E-04 0.6277E-07 -0.1281768E-04 0.2547E-07  1.825    
  10     -0.1280479E-04 0.6179E-07 -0.1281586E-04 0.2356E-07  1.631    
  11     -0.1277569E-04 0.6151E-07 -0.1281087E-04 0.2202E-07  1.509    
  12     -0.1288035E-04 0.6197E-07 -0.1281856E-04 0.2075E-07  1.474    
  13     -0.1269183E-04 0.6583E-07 -0.1280755E-04 0.1980E-07  1.626    
  14     -0.1291944E-04 0.6380E-07 -0.1281733E-04 0.1891E-07  1.717    
  15     -0.1281252E-04 0.6302E-07 -0.1281694E-04 0.1811E-07  1.597    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=  488281250.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  25
   1     -0.1278155E-04 0.2160E-07 -0.1278155E-04 0.2160E-07  0.000    
   2     -0.1277681E-04 0.2085E-07 -0.1277910E-04 0.1500E-07 0.2488E-01
   3     -0.1281674E-04 0.2115E-07 -0.1279175E-04 0.1224E-07  1.068    
   4     -0.1282439E-04 0.2098E-07 -0.1280006E-04 0.1057E-07  1.314    
   5     -0.1284363E-04 0.2115E-07 -0.1280882E-04 0.9455E-08  1.837    
   6     -0.1280007E-04 0.2098E-07 -0.1280735E-04 0.8620E-08  1.499    
   7     -0.1279010E-04 0.2066E-07 -0.1280479E-04 0.7955E-08  1.348    
   8     -0.1279666E-04 0.2050E-07 -0.1280373E-04 0.7416E-08  1.175    
   9     -0.1282755E-04 0.2108E-07 -0.1280636E-04 0.6996E-08  1.171    
  10     -0.1279226E-04 0.2100E-07 -0.1280496E-04 0.6637E-08  1.086    
  11     -0.1280464E-04 0.2131E-07 -0.1280493E-04 0.6337E-08 0.9772    
  12     -0.1279803E-04 0.2067E-07 -0.1280433E-04 0.6059E-08 0.8977    
  13     -0.1280196E-04 0.2069E-07 -0.1280415E-04 0.5814E-08 0.8239    
  14     -0.1283533E-04 0.2088E-07 -0.1280640E-04 0.5601E-08 0.9202    
  15     -0.1281545E-04 0.2180E-07 -0.1280696E-04 0.5425E-08 0.8660    
  16     -0.1282098E-04 0.2146E-07 -0.1280781E-04 0.5260E-08 0.8349    
  17     -0.1281438E-04 0.2360E-07 -0.1280812E-04 0.5134E-08 0.7873    
  18     -0.1278916E-04 0.2146E-07 -0.1280709E-04 0.4993E-08 0.7844    
  19     -0.1281117E-04 0.2068E-07 -0.1280732E-04 0.4853E-08 0.7429    
  20     -0.1279099E-04 0.2072E-07 -0.1280647E-04 0.4725E-08 0.7348    
  21     -0.1281434E-04 0.2084E-07 -0.1280686E-04 0.4609E-08 0.7048    
  22     -0.1276821E-04 0.2363E-07 -0.1280545E-04 0.4523E-08 0.7934    
  23     -0.1280567E-04 0.2083E-07 -0.1280546E-04 0.4420E-08 0.7573    
  24     -0.1281984E-04 0.2066E-07 -0.1280609E-04 0.4322E-08 0.7445    
  25     -0.1282083E-04 0.2192E-07 -0.1280664E-04 0.4241E-08 0.7316    
  26     -0.1275997E-04 0.2116E-07 -0.1280485E-04 0.4158E-08 0.8883    
  27     -0.1284371E-04 0.2097E-07 -0.1280633E-04 0.4079E-08 0.9818    
  28     -0.1277202E-04 0.3476E-07 -0.1280587E-04 0.4051E-08 0.9810    
  29     -0.1280791E-04 0.2116E-07 -0.1280594E-04 0.3978E-08 0.9463    
  30     -0.1283695E-04 0.2149E-07 -0.1280697E-04 0.3912E-08 0.9833    
   
   
 Integral=  -1.2806974540057531E-005 +-   3.9118995929571526E-009
 with chisq    =  0.98325783775052955     
  
  
  
 For xq =          400 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=   48275138.
                              IT=    0  ITMX=   15
                              MDS=  1   ND=  50
   1     -0.3256344E-05 0.1139E-06 -0.3256344E-05 0.1139E-06  0.000    
   2     -0.3426330E-05 0.3196E-07 -0.3415039E-05 0.3013E-07  1.974    
   3     -0.3364895E-05 0.2311E-07 -0.3383313E-05 0.1830E-07  1.855    
   4     -0.3391295E-05 0.1981E-07 -0.3387038E-05 0.1341E-07  1.258    
   5     -0.3410079E-05 0.1886E-07 -0.3394924E-05 0.1091E-07  1.189    
   6     -0.3409167E-05 0.1882E-07 -0.3398567E-05 0.9426E-08  1.035    
   7     -0.3362724E-05 0.1845E-07 -0.3391196E-05 0.8396E-08  1.360    
   8     -0.3398372E-05 0.1864E-07 -0.3392421E-05 0.7653E-08  1.181    
   9     -0.3394312E-05 0.1816E-07 -0.3392708E-05 0.7051E-08  1.033    
  10     -0.3372466E-05 0.1789E-07 -0.3389997E-05 0.6560E-08  1.042    
  11     -0.3369162E-05 0.1803E-07 -0.3387573E-05 0.6165E-08  1.055    
  12     -0.3394480E-05 0.1813E-07 -0.3388295E-05 0.5837E-08 0.9707    
  13     -0.3385470E-05 0.1908E-07 -0.3388052E-05 0.5581E-08 0.8912    
  14     -0.3415356E-05 0.1894E-07 -0.3390275E-05 0.5353E-08 0.9711    
  15     -0.3365538E-05 0.1855E-07 -0.3388392E-05 0.5144E-08  1.018    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=  488281250.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  25
   1     -0.3397314E-05 0.6125E-08 -0.3397314E-05 0.6125E-08  0.000    
   2     -0.3389565E-05 0.6263E-08 -0.3393534E-05 0.4379E-08 0.7825    
   3     -0.3392991E-05 0.6078E-08 -0.3393349E-05 0.3553E-08 0.3939    
   4     -0.3385887E-05 0.6019E-08 -0.3391427E-05 0.3060E-08 0.6420    
   5     -0.3399742E-05 0.6049E-08 -0.3393128E-05 0.2730E-08 0.8582    
   6     -0.3394268E-05 0.6137E-08 -0.3393316E-05 0.2494E-08 0.6923    
   7     -0.3401308E-05 0.7131E-08 -0.3394191E-05 0.2355E-08 0.7636    
   8     -0.3407671E-05 0.6096E-08 -0.3395953E-05 0.2197E-08  1.265    
   9     -0.3397255E-05 0.6171E-08 -0.3396100E-05 0.2069E-08  1.112    
  10     -0.3393073E-05 0.6114E-08 -0.3395789E-05 0.1960E-08  1.013    
  11     -0.3393725E-05 0.6289E-08 -0.3395606E-05 0.1871E-08 0.9216    
  12     -0.3404082E-05 0.6045E-08 -0.3396351E-05 0.1788E-08  1.001    
  13     -0.3392990E-05 0.6109E-08 -0.3396086E-05 0.1716E-08 0.9411    
  14     -0.3397416E-05 0.6412E-08 -0.3396175E-05 0.1657E-08 0.8718    
  15     -0.3390713E-05 0.6049E-08 -0.3395795E-05 0.1598E-08 0.8637    
  16     -0.3388385E-05 0.6350E-08 -0.3395355E-05 0.1550E-08 0.8914    
  17     -0.3389753E-05 0.6029E-08 -0.3395009E-05 0.1501E-08 0.8863    
  18     -0.3391624E-05 0.6044E-08 -0.3394813E-05 0.1457E-08 0.8516    
  19     -0.3398410E-05 0.6188E-08 -0.3395002E-05 0.1418E-08 0.8220    
  20     -0.3376308E-05 0.6077E-08 -0.3394046E-05 0.1381E-08  1.247    
  21     -0.3392275E-05 0.6100E-08 -0.3393960E-05 0.1347E-08  1.189    
  22     -0.3390561E-05 0.6295E-08 -0.3393811E-05 0.1317E-08  1.145    
  23     -0.3393199E-05 0.6396E-08 -0.3393786E-05 0.1290E-08  1.094    
  24     -0.3402908E-05 0.6123E-08 -0.3394176E-05 0.1262E-08  1.139    
  25     -0.3385808E-05 0.6115E-08 -0.3393836E-05 0.1236E-08  1.166    
  26     -0.3398321E-05 0.6137E-08 -0.3394011E-05 0.1212E-08  1.140    
  27     -0.3394289E-05 0.6056E-08 -0.3394022E-05 0.1188E-08  1.096    
  28     -0.3388473E-05 0.6111E-08 -0.3393820E-05 0.1167E-08  1.085    
  29     -0.3388489E-05 0.6073E-08 -0.3393631E-05 0.1146E-08  1.073    
  30     -0.3394372E-05 0.6331E-08 -0.3393655E-05 0.1127E-08  1.036    
