 100      5.0049870782079627E-002	6.3061411126503965E-006
 200      2.8413761040315495E-003	6.0622929797454856E-007
 300      4.9961528095602615E-004	1.4223730556521482E-007
 400      1.4066101926221198E-004	4.8568692184174725E-008
 500      5.1413843861616845E-005	2.0334745297187500E-008
 600      2.2188031338455250E-005	9.7975428405302016E-009
 700      1.0749271396092994E-005	5.1208617062462928E-009
 800      5.6663039624391739E-006	2.9277553651853064E-009
 900      3.1741678405796003E-006	1.7140628237715235E-009
1000      1.8744188624470255E-006	1.0635611321811306E-009
1100      1.1504337440241034E-006	6.7762334690064256E-010
1200      7.3137794475791495E-007	4.4613915219029517E-010
1300      4.7688571394808566E-007	3.0721961900039846E-010
1400      
1500      
1600      
1700      
1800      
1900      
2000      

