  30      0.3161440E-01 0.1371E-04  0.3160061E-01 0.2503E-05 0.6237    
   
   
 Integral=   3.1600613059109044E-002 +-   2.5027499159419266E-006
 with chisq    =  0.62369123320579467     
  
  
  
 For xq =          200 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=   99574272.
                              IT=    0  ITMX=   15
                              MDS= -1   ND=  42
   1      0.1805636E-02 0.5034E-04  0.1805636E-02 0.5034E-04  0.000    
   2      0.1745881E-02 0.8711E-05  0.1747735E-02 0.8722E-05  1.411    
   3      0.1743453E-02 0.4951E-05  0.1744526E-02 0.4339E-05 0.8056    
   4      0.1737650E-02 0.4006E-05  0.1740868E-02 0.2957E-05 0.9900    
   5      0.1747619E-02 0.3695E-05  0.1743483E-02 0.2311E-05  1.251    
   6      0.1749826E-02 0.3550E-05  0.1745362E-02 0.1938E-05  1.448    
   7      0.1747217E-02 0.3477E-05  0.1745798E-02 0.1694E-05  1.244    
   8      0.1745291E-02 0.3444E-05  0.1745700E-02 0.1520E-05  1.070    
   9      0.1742218E-02 0.3429E-05  0.1745134E-02 0.1390E-05  1.045    
  10      0.1744606E-02 0.3417E-05  0.1745060E-02 0.1288E-05 0.9316    
  11      0.1744648E-02 0.3423E-05  0.1745009E-02 0.1206E-05 0.8403    
  12      0.1746079E-02 0.3422E-05  0.1745127E-02 0.1137E-05 0.7721    
  13      0.1747074E-02 0.3426E-05  0.1745319E-02 0.1079E-05 0.7321    
  14      0.1743758E-02 0.3437E-05  0.1745180E-02 0.1030E-05 0.6905    
  15      0.1747313E-02 0.3447E-05  0.1745354E-02 0.9867E-06 0.6663    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=  933897762.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  49
   1      0.1743719E-02 0.1054E-05  0.1743719E-02 0.1054E-05  0.000    
   2      0.1745220E-02 0.1055E-05  0.1744469E-02 0.7458E-06  1.012    
   3      0.1743703E-02 0.1055E-05  0.1744214E-02 0.6089E-06 0.6823    
   4      0.1744260E-02 0.1055E-05  0.1744225E-02 0.5273E-06 0.4553    
   5      0.1742919E-02 0.1054E-05  0.1743964E-02 0.4716E-06 0.6482    
   6      0.1745279E-02 0.1055E-05  0.1744183E-02 0.4306E-06 0.7775    
   7      0.1743189E-02 0.1054E-05  0.1744041E-02 0.3986E-06 0.7752    
   8      0.1745085E-02 0.1055E-05  0.1744172E-02 0.3729E-06 0.7869    
   9      0.1743437E-02 0.1054E-05  0.1744090E-02 0.3515E-06 0.7426    
  10      0.1746117E-02 0.1055E-05  0.1744293E-02 0.3335E-06  1.029    
  11      0.1744894E-02 0.1055E-05  0.1744348E-02 0.3180E-06 0.9559    
  12      0.1744395E-02 0.1054E-05  0.1744352E-02 0.3044E-06 0.8692    
  13      0.1743525E-02 0.1054E-05  0.1744288E-02 0.2925E-06 0.8440    
  14      0.1744384E-02 0.1054E-05  0.1744295E-02 0.2818E-06 0.7797    
  15      0.1745686E-02 0.1055E-05  0.1744388E-02 0.2723E-06 0.8399    
  16      0.1743517E-02 0.1054E-05  0.1744333E-02 0.2636E-06 0.8265    
  17      0.1745218E-02 0.1054E-05  0.1744385E-02 0.2558E-06 0.8163    
  18      0.1744326E-02 0.1055E-05  0.1744382E-02 0.2486E-06 0.7684    
  19      0.1744702E-02 0.1054E-05  0.1744399E-02 0.2419E-06 0.7306    
  20      0.1744788E-02 0.1054E-05  0.1744418E-02 0.2358E-06 0.6989    
  21      0.1746030E-02 0.1055E-05  0.1744495E-02 0.2301E-06 0.7752    
  22      0.1744324E-02 0.1055E-05  0.1744487E-02 0.2248E-06 0.7395    
  23      0.1745063E-02 0.1055E-05  0.1744512E-02 0.2199E-06 0.7188    
  24      0.1744910E-02 0.1054E-05  0.1744529E-02 0.2153E-06 0.6935    
  25      0.1744549E-02 0.1055E-05  0.1744530E-02 0.2109E-06 0.6646    
  26      0.1742824E-02 0.1055E-05  0.1744464E-02 0.2068E-06 0.7384    
  27      0.1745584E-02 0.1055E-05  0.1744506E-02 0.2030E-06 0.7517    
  28      0.1743985E-02 0.1054E-05  0.1744487E-02 0.1993E-06 0.7326    
  29      0.1745041E-02 0.1055E-05  0.1744506E-02 0.1958E-06 0.7159    
  30      0.1744929E-02 0.1055E-05  0.1744520E-02 0.1925E-06 0.6966    
   
   
 Integral=   1.7445203270985870E-003 +-   1.9254926334407761E-007
 with chisq    =  0.69657339750993963     
  
  
  
 For xq =          300 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=   99574272.
                              IT=    0  ITMX=   15
                              MDS= -1   ND=  42
   1      0.3008970E-03 0.7636E-05  0.3008970E-03 0.7636E-05  0.000    
   2      0.3004877E-03 0.1392E-05  0.3005009E-03 0.1371E-05 0.2785E-02
   3      0.3001332E-03 0.8675E-06  0.3002387E-03 0.7335E-06 0.2710E-01
   4      0.2994270E-03 0.7560E-06  0.2998465E-03 0.5269E-06 0.2157    
   5      0.3019925E-03 0.7188E-06  0.3006022E-03 0.4246E-06  1.618    
   6      0.3021997E-03 0.7021E-06  0.3010333E-03 0.3631E-06  2.055    
   7      0.3009382E-03 0.6918E-06  0.3010128E-03 0.3215E-06  1.715    
   8      0.3006544E-03 0.6867E-06  0.3009484E-03 0.2912E-06  1.502    
   9      0.3012070E-03 0.6860E-06  0.3009880E-03 0.2680E-06  1.329    
  10      0.2997421E-03 0.6824E-06  0.3008226E-03 0.2495E-06  1.501    
  11      0.2995769E-03 0.6854E-06  0.3006778E-03 0.2345E-06  1.642    
  12      0.3005189E-03 0.6861E-06  0.3006612E-03 0.2219E-06  1.497    
  13      0.3017520E-03 0.6894E-06  0.3007643E-03 0.2112E-06  1.562    
  14      0.3002554E-03 0.6883E-06  0.3007206E-03 0.2019E-06  1.480    
  15      0.3005148E-03 0.6917E-06  0.3007045E-03 0.1938E-06  1.381    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  4  NCALL=  933897762.
                              IT=    0  ITMX=   30
                              MDS= -1   ND=  49
   1      0.3006498E-03 0.2148E-06  0.3006498E-03 0.2148E-06  0.000    
   2      0.3008719E-03 0.2148E-06  0.3007610E-03 0.1519E-06 0.5347    
   3      0.3004631E-03 0.2147E-06  0.3006618E-03 0.1240E-06 0.9083    
   4      0.3006543E-03 0.2147E-06  0.3006599E-03 0.1074E-06 0.6058    
   5      0.3003016E-03 0.2147E-06  0.3005884E-03 0.9604E-07  1.011    
   6      0.3004557E-03 0.2147E-06  0.3005662E-03 0.8767E-07 0.8724    
   7      0.3004599E-03 0.2148E-06  0.3005511E-03 0.8117E-07 0.7620    
   8      0.3008252E-03 0.2150E-06  0.3005853E-03 0.7593E-07 0.8566    
   9      0.3003900E-03 0.2147E-06  0.3005636E-03 0.7159E-07 0.8415    
  10      0.3005568E-03 0.2149E-06  0.3005630E-03 0.6792E-07 0.7481    
  11      0.3003318E-03 0.2147E-06  0.3005420E-03 0.6475E-07 0.7787    
  12      0.3005708E-03 0.2147E-06  0.3005444E-03 0.6200E-07 0.7094    
  13      0.3003375E-03 0.2147E-06  0.3005285E-03 0.5956E-07 0.7217    
  14      0.3005918E-03 0.2148E-06  0.3005330E-03 0.5739E-07 0.6724    
  15      0.3007902E-03 0.2148E-06  0.3005501E-03 0.5545E-07 0.7200    
