without x

    100      0.532668809890740E-01      0.195938373075564E-03
    200      0.308393653777740E-02      0.224198080816389E-04
    300      0.542753587668863E-03      0.289395449565527E-05
    400      0.152186636811669E-03      0.111071587657707E-05
    500      0.558308969709490E-04      0.400474914795263E-06
    600      0.236372362566546E-04      0.165775022291868E-06
    700      0.115431043393336E-04      0.877165333123272E-07
    800      0.589048435517532E-05      0.539344667857687E-07
    900      0.324777534248733E-05      0.283317831342408E-07
   1000      0.188699373061917E-05      0.185847654437224E-07

with x

    100      0.353397218643047E-01      0.136377162776087E-03
    200      0.205362699828198E-02      0.945153780815399E-05
    300      0.365687062156559E-03      0.209411547244171E-05
    400      0.101814804178307E-03      0.651648712319087E-06
    500      0.368911763531148E-04      0.404093386221184E-06
    600      0.152277562419204E-04      0.247538463289484E-06
    700      0.738375169873676E-05      0.628278408595238E-07
    800      0.396133972035324E-05      0.282649113923076E-07
    900      0.216914358454285E-05      0.171990509460412E-07
   1000      0.121322815515397E-05      0.151099641303909E-07


    100      0.529254122835511E-01      0.264743699570746E-04
    200      0.308900960413908E-02      0.202020706093923E-05
    300      0.545690031310511E-03      0.409004998876082E-06
    400      0.153226357692257E-03      0.126032174619377E-06
    500      0.555975595961837E-04      0.488779185772376E-07
    600      0.238208122044905E-04      0.220510282902746E-07
    700      0.113744248985018E-04      0.110150803963501E-07
    800      0.591461710793115E-05      0.595647838352189E-08
    900      0.327177219987257E-05      0.338465696965161E-08
   1000      0.190187947436662E-05      0.202020527196191E-08

Note : Pulled out from PKd-5.dat, information on the iteration is there in file. 
       This value can be trusted
