    100      0.662676515626439E-01      0.234964603625928E-03
    400      0.211400375339208E-03      0.169295159290155E-05
    700      0.167848315467681E-04      0.174107194772950E-06
   1000      0.311834449356827E-05      0.356527080892064E-07
   1300      0.824271825390809E-06      0.100730471492263E-07
   1600      0.268363216874711E-06      0.339045202374591E-08
   1900      0.104447238130134E-06      0.127752316419800E-08
   2200      0.422437666819196E-07      0.522091247186325E-09
   2500      0.183854097074371E-07      0.225766494660005E-09
   2800      0.828914133615272E-08      0.101211353142789E-09
   3100      0.402650217905983E-08      0.463663817568007E-10
   3400      0.193962518118587E-08      0.217257165465689E-10
   3700      0.936996497722189E-09      0.103292253979072E-10
   4000      0.463617596992664E-09      0.492888562520541E-11
   4300      0.228093238872791E-09      0.234056739321686E-11
   4600      0.116092313838345E-09      0.111585681765584E-11
   4900      0.562388749661434E-10      0.525751763203437E-12
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK1.dat
