    100      0.529254122835511E-01      0.264743699570746E-04
    200      0.308900960413908E-02      0.202020706093923E-05
    300      0.545690031310511E-03      0.409004998876082E-06
    400      0.153226357692257E-03      0.126032174619377E-06
    500      0.555975595961837E-04      0.488779185772376E-07
    600      0.238208122044905E-04      0.220510282902746E-07
    700      0.113744248985018E-04      0.110150803963501E-07
    800      0.591461710793115E-05      0.595647838352189E-08
    900      0.327177219987257E-05      0.338465696965161E-08
   1000      0.190187947436662E-05      0.202020527196191E-08

Note : Pulled out from PKd-5.dat, information on the iteration is there in file. 
       This value can be trusted
